SpecFile	LocalSpecIdx	Scan	LocalPeptideIdx	Name	Score	PeptideMass	SpectrumMass	Retention	MassDiff	Adduct	Charge
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	1	82863	4	488.036	489.043	-1	1.9212e-05	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	512	20737961	3	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	426	31769928	3	488.036	489.043	-1	-0.000689908	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	239	28187172	3	488.038	489.043	-1	0.0017547	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	242	29106279	3	488.038	489.043	-1	0.0017547	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	210	22470060	3	488.038	489.043	-1	0.0017547	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	205	21903913	3	488.038	489.043	-1	0.0017547	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	243	29106321	3	488.038	489.043	-1	0.0017547	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	90	3052040	2	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	144	4759860	2	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	91	3112089	2	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	184	12274914	2	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	143	4754399	2	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	185	12274926	2	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	97	3220111	2	488.038	489.043	-1	0.0017547	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	48	1814242	2	488.038	489.043	-1	0.0017547	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	201	21603286	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	209	22424024	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	115	3892188	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	39	1712221	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	262	1799657	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	54	1907907	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	308	11919740	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	53	1907904	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	202	21603287	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	203	21603321	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	388	24700605	1	488.037	489.043	-1	0.00115239	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	384	24538065	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	40	1712222	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	106	3503925	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	387	24700400	1	488.037	489.043	-1	0.00115239	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	80	2709961	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	132	4500854	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	38	1712220	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	114	3892177	1	488.036	489.043	-1	0.000213416	M+H	1
/home/artem/Programming/bioinformatics/NPD-QUAST/files/casmi_quast/temp/spectres/Challenge-206.mgf	0	1	141	4734542	1	488.036	489.043	-1	0.000213416	M+H	1
