"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
4478,"3,14-Dihydroxy-17-methyl-4,5-epoxymorphinan-6-one",301.131409,"C17H19NO4","CN1CCC23c4c5ccc(c4OC2C(=O)CCC3(C1C5)O)O","InChI=1S/C17H19NO4/c1-18-7-6-16-13-9-2-3-10(19)14(13)22-15(16)11(20)4-5-17(16,21)12(18)8-9/h2-3,12,15,19,21H,4-8H2,1H3","UQCNKQCJZOAFTQ-UHFFFAOYSA-N"
12389,"3,4,5-Trimethoxy-N-(2-methylphenyl)benzamide",301.131409,"C17H19NO4","Cc1ccccc1NC(=O)c2cc(c(c(c2)OC)OC)OC","InChI=1S/C17H19NO4/c1-11-7-5-6-8-13(11)18-17(19)12-9-14(20-2)16(22-4)15(10-12)21-3/h5-10H,1-4H3,(H,18,19)","BGNIILXYCHNOSN-UHFFFAOYSA-N"
38763,"FURALAXYL",301.131409,"C17H19NO4","Cc1cccc(c1N(C(C)C(=O)OC)C(=O)c2ccco2)C","InChI=1S/C17H19NO4/c1-11-7-5-8-12(2)15(11)18(13(3)17(20)21-4)16(19)14-9-6-10-22-14/h5-10,13H,1-4H3","CIEXPHRYOLIQQD-UHFFFAOYSA-N"
46739,"fenoxycarb",301.131409,"C17H19NO4","CCO/C(=N\CCOc1ccc(cc1)Oc2ccccc2)/O","InChI=1S/C17H19NO4/c1-2-20-17(19)18-12-13-21-14-8-10-16(11-9-14)22-15-6-4-3-5-7-15/h3-11H,2,12-13H2,1H3,(H,18,19)","HJUFTIJOISQSKQ-UHFFFAOYSA-N"
83697,"1-(3,4-Dihydroxybenzyl)-2-methyl-1,2,3,4-tetrahydro-6,7-isoquinolinediol",301.131409,"C17H19NO4","CN1CCc2cc(c(cc2C1Cc3ccc(c(c3)O)O)O)O","InChI=1S/C17H19NO4/c1-18-5-4-11-8-16(21)17(22)9-12(11)13(18)6-10-2-3-14(19)15(20)7-10/h2-3,7-9,13,19-22H,4-6H2,1H3","VHRSWCTVFBWHKE-UHFFFAOYSA-N"
114940,"2,6-Dimethyl-3,5-dicarbomethoxy-4-phenyl-1,4-dihydropyridine",301.131409,"C17H19NO4","CC1=C(C(C(=C(N1)C)C(=O)OC)c2ccccc2)C(=O)OC","InChI=1S/C17H19NO4/c1-10-13(16(19)21-3)15(12-8-6-5-7-9-12)14(11(2)18-10)17(20)22-4/h5-9,15,18H,1-4H3","QDHIAGVDKRWZNF-UHFFFAOYSA-N"
190519,"N-(4-Methylphenyl)-1-phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine",301.132751,"C18H15N5","Cc1ccc(cc1)Nc2c3cnn(c3ncn2)c4ccccc4","InChI=1S/C18H15N5/c1-13-7-9-14(10-8-13)22-17-16-11-21-23(18(16)20-12-19-17)15-5-3-2-4-6-15/h2-12H,1H3,(H,19,20,22)","XXWOHQMGZZYIIJ-UHFFFAOYSA-N"
190520,"N-(2-Methylphenyl)-1-phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine",301.132751,"C18H15N5","Cc1ccccc1Nc2c3cnn(c3ncn2)c4ccccc4","InChI=1S/C18H15N5/c1-13-7-5-6-10-16(13)22-17-15-11-21-23(18(15)20-12-19-17)14-8-3-2-4-9-14/h2-12H,1H3,(H,19,20,22)","MKNHNEOFLFOENW-UHFFFAOYSA-N"
240054,"Diethyl (2-naphthylamino)malonate",301.131409,"C17H19NO4","CCOC(=O)C(C(=O)OCC)Nc1ccc2ccccc2c1","InChI=1S/C17H19NO4/c1-3-21-16(19)15(17(20)22-4-2)18-14-10-9-12-7-5-6-8-13(12)11-14/h5-11,15,18H,3-4H2,1-2H3","ACVAPXTZJANMHB-UHFFFAOYSA-N"
256874,"Diethyl 5-methyl-3-phenyl-1H-pyrrole-2,4-dicarboxylate",301.131409,"C17H19NO4","CCOC(=O)c1c([nH]c(c1c2ccccc2)C(=O)OCC)C","InChI=1S/C17H19NO4/c1-4-21-16(19)13-11(3)18-15(17(20)22-5-2)14(13)12-9-7-6-8-10-12/h6-10,18H,4-5H2,1-3H3","WFCFVRPMQNZKLE-UHFFFAOYSA-N"
