"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
3229,"Fenthion",278.02002,"C10H15O3PS2","Cc1cc(ccc1SC)OP(=S)(OC)OC","InChI=1S/C10H15O3PS2/c1-8-7-9(5-6-10(8)16-4)13-14(15,11-2)12-3/h5-7H,1-4H3","PNVJTZOFSHSLTO-UHFFFAOYSA-N"
73110,"O-Methyl O-[3-methyl-4-(methylsulfinyl)phenyl] methylphosphonothioate",278.02002,"C10H15O3PS2","Cc1cc(ccc1S(=O)C)OP(=S)(C)OC","InChI=1S/C10H15O3PS2/c1-8-7-9(13-14(3,15)12-2)5-6-10(8)16(4)11/h5-7H,1-4H3","DHPHGWYFHFFKAH-UHFFFAOYSA-N"
107089,"O,S-Dimethyl O-[3-methyl-4-(methylsulfanyl)phenyl] phosphorothioate",278.02002,"C10H15O3PS2","Cc1cc(ccc1SC)OP(=O)(OC)SC","InChI=1S/C10H15O3PS2/c1-8-7-9(5-6-10(8)15-3)13-14(11,12-2)16-4/h5-7H,1-4H3","UYWDLWPAXCHVNZ-UHFFFAOYSA-N"
112958,"2-Deoxy-2-fluoro-6-O-phosphono-D-gluconic acid",278.020294,"C6H12FO9P","C([C@H]([C@H]([C@@H]([C@H](C(=O)O)F)O)O)O)OP(=O)(O)O","InChI=1S/C6H12FO9P/c7-3(6(11)12)5(10)4(9)2(8)1-16-17(13,14)15/h2-5,8-10H,1H2,(H,11,12)(H2,13,14,15)/t2-,3-,4-,5-/m1/s1","HPWDTWLWYRUEAR-TXICZTDVSA-N"
187261,"N-(6-Chloro-3-pyridazinyl)-4-nitrobenzamide",278.02066,"C11H7ClN4O3","c1cc(ccc1C(=O)Nc2ccc(nn2)Cl)[N+](=O)[O-]","InChI=1S/C11H7ClN4O3/c12-9-5-6-10(15-14-9)13-11(17)7-1-3-8(4-2-7)16(18)19/h1-6H,(H,13,15,17)","SJFKAZGPHJAMRP-UHFFFAOYSA-N"
197921,"9-(4-Chlorophenyl)-7,9-dihydro-1H-purine-2,6,8(3H)-trione",278.02066,"C11H7ClN4O3","c1cc(ccc1n2c3c(c(=O)[nH]c(=O)[nH]3)[nH]c2=O)Cl","InChI=1S/C11H7ClN4O3/c12-5-1-3-6(4-2-5)16-8-7(13-11(16)19)9(17)15-10(18)14-8/h1-4H,(H,13,19)(H2,14,15,17,18)","WSURXXZRIHEJDE-UHFFFAOYSA-N"
197922,"9-(2-Chlorophenyl)-7,9-dihydro-1H-purine-2,6,8(3H)-trione",278.02066,"C11H7ClN4O3","c1ccc(c(c1)n2c3c(c(=O)[nH]c(=O)[nH]3)[nH]c2=O)Cl","InChI=1S/C11H7ClN4O3/c12-5-3-1-2-4-6(5)16-8-7(13-11(16)19)9(17)15-10(18)14-8/h1-4H,(H,13,19)(H2,14,15,17,18)","RGIOLRJJEJLBHC-UHFFFAOYSA-N"
359894,"5-[1-(4-Chlorophenyl)-4-hydroxy-1H-pyrazol-3-yl]-1,3,4-oxadiazol-2(3H)-one",278.02066,"C11H7ClN4O3","c1cc(ccc1n2cc(c(n2)c3n[nH]c(=O)o3)O)Cl","InChI=1S/C11H7ClN4O3/c12-6-1-3-7(4-2-6)16-5-8(17)9(15-16)10-13-14-11(18)19-10/h1-5,17H,(H,14,18)","DBMMPJBBLWSENN-UHFFFAOYSA-N"
451447,"(1E,1'Z)-3,3'-Disulfanediyldipropanimidamide dihydrochloride",278.019348,"C6H16Cl2N4S2","[H]/N=C(\N)/CCSSCC/C(=N\[H])/N.Cl.Cl","InChI=1S/C6H14N4S2.2ClH/c7-5(8)1-3-11-12-4-2-6(9)10;;/h1-4H2,(H3,7,8)(H3,9,10);2*1H","ZKEMDIJQCNCJLO-UHFFFAOYSA-N"
523997,"p-Tolyl selenoxide",278.020996,"C14H14OSe","Cc1ccc(cc1)[Se](=O)c2ccc(cc2)C","InChI=1S/C14H14OSe/c1-11-3-7-13(8-4-11)16(15)14-9-5-12(2)6-10-14/h3-10H,1-2H3","SSHNCKVJNHOUCT-UHFFFAOYSA-N"
