"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
12705,"ametryn",227.120468,"C9H17N5S","CC/N=c/1\[nH]/c(=N/C(C)C)/[nH]c(n1)SC","InChI=1S/C9H17N5S/c1-5-10-7-12-8(11-6(2)3)14-9(13-7)15-4/h6H,5H2,1-4H3,(H2,10,11,12,13,14)","RQVYBGPQFYCBGX-UHFFFAOYSA-N"
32338,"N,N'-Diethyl-6-(ethylsulfanyl)-1,3,5-triazine-2,4-diamine",227.120468,"C9H17N5S","CCNc1nc(nc(n1)SCC)NCC","InChI=1S/C9H17N5S/c1-4-10-7-12-8(11-5-2)14-9(13-7)15-6-3/h4-6H2,1-3H3,(H2,10,11,12,13,14)","BIDJPLCJFOGHTK-UHFFFAOYSA-N"
45035,"N-(2-Chloroethyl)-N-ethyl-1-hexanaminium chloride",227.120758,"C10H23Cl2N","CCCCCC[NH+](CC)CCCl.[Cl-]","InChI=1S/C10H22ClN.ClH/c1-3-5-6-7-9-12(4-2)10-8-11;/h3-10H2,1-2H3;1H","RISFSBBYGKZPHX-UHFFFAOYSA-N"
114920,"2-Methyl-1-(2-{[(5-methyl-1H-imidazol-4-yl)methyl]sulfanyl}ethyl)guanidine",227.120468,"C9H17N5S","Cc1c(nc[nH]1)CSCCN/C(=N/C)/N","InChI=1S/C9H17N5S/c1-7-8(14-6-13-7)5-15-4-3-12-9(10)11-2/h6H,3-5H2,1-2H3,(H,13,14)(H3,10,11,12)","OFFPEAOWWDXZOY-UHFFFAOYSA-N"
786467,"4-(Dimethylamino)-6-(isobutylamino)-1,3,5-triazine-2(5H)-thione",227.120468,"C9H17N5S","CC(C)CNc1[nH]c(nc(=S)n1)N(C)C","InChI=1S/C9H17N5S/c1-6(2)5-10-7-11-8(14(3)4)13-9(15)12-7/h6H,5H2,1-4H3,(H2,10,11,12,13,15)","YLZRNRWGAGTTPU-UHFFFAOYSA-N"
1698412,"(2S)-N,N,2-Trimethyl-3-[(2-thienylcarbonyl)amino]-1-propanaminium",227.121262,"C11H19N2OS","C[C@@H](CNC(=O)c1cccs1)C[NH+](C)C","InChI=1S/C11H18N2OS/c1-9(8-13(2)3)7-12-11(14)10-5-4-6-15-10/h4-6,9H,7-8H2,1-3H3,(H,12,14)/p+1/t9-/m0/s1","IUDYBWHGRVWQFJ-VIFPVBQESA-O"
1698414,"(2R)-N,N,2-Trimethyl-3-[(2-thienylcarbonyl)amino]-1-propanaminium",227.121262,"C11H19N2OS","C[C@H](CNC(=O)c1cccs1)C[NH+](C)C","InChI=1S/C11H18N2OS/c1-9(8-13(2)3)7-12-11(14)10-5-4-6-15-10/h4-6,9H,7-8H2,1-3H3,(H,12,14)/p+1/t9-/m1/s1","IUDYBWHGRVWQFJ-SECBINFHSA-O"
2252777,"4-(Butylamino)-6-(dimethylamino)-1,3,5-triazine-2(5H)-thione",227.120468,"C9H17N5S","CCCCNc1[nH]c(nc(=S)n1)N(C)C","InChI=1S/C9H17N5S/c1-4-5-6-10-7-11-8(14(2)3)13-9(15)12-7/h4-6H2,1-3H3,(H2,10,11,12,13,15)","ROLOAFXTVXZRRF-UHFFFAOYSA-N"
2259677,"4,6-BIS(ISOPROPYLAMINO)-S-TRIAZINE-2-THIOL",227.120468,"C9H17N5S","CC(C)Nc1[nH]c(nc(=S)n1)NC(C)C","InChI=1S/C9H17N5S/c1-5(2)10-7-12-8(11-6(3)4)14-9(15)13-7/h5-6H,1-4H3,(H3,10,11,12,13,14,15)","ZHUKDYCLYXWRAV-UHFFFAOYSA-N"
2298822,"4-(Diethylamino)-6-(ethylamino)-1,3,5-triazine-2(1H)-thione",227.120468,"C9H17N5S","CCNc1[nH]c(nc(=S)n1)N(CC)CC","InChI=1S/C9H17N5S/c1-4-10-7-11-8(13-9(15)12-7)14(5-2)6-3/h4-6H2,1-3H3,(H2,10,11,12,13,15)","GOUKSYJATNOEID-UHFFFAOYSA-N"
