"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
13428,"sodium valproate",166.09697,"C8H15NaO2","CCCC(CCC)C(=O)[O-].[Na+]","InChI=1S/C8H16O2.Na/c1-3-5-7(6-4-2)8(9)10;/h7H,3-6H2,1-2H3,(H,9,10);/q;+1/p-1","AEQFSUDEHCCHBT-UHFFFAOYSA-M"
15307,"Sodium caprylate [USAN]",166.09697,"C8H15NaO2","CCCCCCCC(=O)[O-].[Na+]","InChI=1S/C8H16O2.Na/c1-2-3-4-5-6-7-8(9)10;/h2-7H2,1H3,(H,9,10);/q;+1/p-1","BYKRNSHANADUFY-UHFFFAOYSA-M"
43550,"Cyromazine",166.096695,"C6H10N6","C1CC1Nc2nc(nc(n2)N)N","InChI=1S/C6H10N6/c7-4-10-5(8)12-6(11-4)9-3-1-2-3/h3H,1-2H2,(H5,7,8,9,10,11,12)","LVQDKIWDGQRHTE-UHFFFAOYSA-N"
80512,"Sodium 2-ethylhexanoate",166.09697,"C8H15NaO2","CCCCC(CC)C(=O)[O-].[Na+]","InChI=1S/C8H16O2.Na/c1-3-5-6-7(4-2)8(9)10;/h7H,3-6H2,1-2H3,(H,9,10);/q;+1/p-1","VYPDUQYOLCLEGS-UHFFFAOYSA-M"
144153,"Sodium (2R)-2-ethylhexanoate",166.09697,"C8H15NaO2","CCCC[C@@H](CC)C(=O)[O-].[Na+]","InChI=1S/C8H16O2.Na/c1-3-5-6-7(4-2)8(9)10;/h7H,3-6H2,1-2H3,(H,9,10);/q;+1/p-1/t7-;/m1./s1","VYPDUQYOLCLEGS-OGFXRTJISA-M"
235471,"6-Amino-N'-ethyl-1,2,4-triazine-5-carboximidamide",166.096695,"C6H10N6","CC/N=C(/c1c(nncn1)N)\N","InChI=1S/C6H10N6/c1-2-9-5(7)4-6(8)12-11-3-10-4/h3H,2H2,1H3,(H2,7,9)(H2,8,12)","YRBYHGOQFSICMA-UHFFFAOYSA-N"
262957,"1-Methyl-N-(2H-tetrazol-5-yl)-2-pyrrolidinimine",166.096695,"C6H10N6","CN1CCCC1=Nc2n[nH]nn2","InChI=1S/C6H10N6/c1-12-4-2-3-5(12)7-6-8-10-11-9-6/h2-4H2,1H3,(H,8,9,10,11)","USJMNMBIPMIMEA-UHFFFAOYSA-N"
363141,"1-(2-Hydrazino-2-oxoethyl)-4-methylpyridinium",166.097488,"C8H12N3O","Cc1cc[n+](cc1)CC(=O)NN","InChI=1S/C8H11N3O/c1-7-2-4-11(5-3-7)6-8(12)10-9/h2-5H,6,9H2,1H3/p+1","MIJSUODEEVOTMN-UHFFFAOYSA-O"
383171,"1-Ethyl-4-(hydrazinocarbonyl)pyridinium",166.097488,"C8H12N3O","CC[n+]1ccc(cc1)C(=O)NN","InChI=1S/C8H11N3O/c1-2-11-5-3-7(4-6-11)8(12)10-9/h3-6,9,12H,2H2,1H3/p+1","PGGNGLNEZGRCTK-UHFFFAOYSA-O"
385528,"1-(4,5-Dihydro-1H-imidazol-2-yl)-1H-pyrazole-3,5-diamine",166.096695,"C6H10N6","c1c(nn(c1N)C2=NCCN2)N","InChI=1S/C6H10N6/c7-4-3-5(8)12(11-4)6-9-1-2-10-6/h3H,1-2,8H2,(H2,7,11)(H,9,10)","HKCLDEHMEDOYBD-UHFFFAOYSA-N"
497651,"1-(Carbamoylamino)-3,5-dimethylpyridinium",166.097488,"C8H12N3O","Cc1cc(c[n+](c1)NC(=O)N)C","InChI=1S/C8H11N3O/c1-6-3-7(2)5-11(4-6)10-8(9)12/h3-5H,1-2H3,(H2-,9,10,12)/p+1","DLUNYJGOCYRGFP-UHFFFAOYSA-O"
1439915,"2-(Isonicotinoylamino)ethanaminium",166.097488,"C8H12N3O","c1cnccc1C(=O)NCC[NH3+]","InChI=1S/C8H11N3O/c9-3-6-11-8(12)7-1-4-10-5-2-7/h1-2,4-5H,3,6,9H2,(H,11,12)/p+1","BYBVGGPVHPUBSJ-UHFFFAOYSA-O"
2041529,"1,1,2-Trifluoro-1-octene",166.096939,"C8H13F3","CCCCCCC(=C(F)F)F","InChI=1S/C8H13F3/c1-2-3-4-5-6-7(9)8(10)11/h2-6H2,1H3","QLMNBUGTGFMBBM-UHFFFAOYSA-N"
2062282,"4-CYCLOPROPYL-6-HYDRAZINO-1,3,5-TRIAZIN-2-AMINE",166.096695,"C6H10N6","C1CC1c2nc(nc(n2)NN)N","InChI=1S/C6H10N6/c7-5-9-4(3-1-2-3)10-6(11-5)12-8/h3H,1-2,8H2,(H3,7,9,10,11,12)","KUUQVVNKTZWOTC-UHFFFAOYSA-N"
2856608,"Imino[(4-methoxyphenyl)amino]methanaminium",166.097488,"C8H12N3O","COc1ccc(cc1)NC(=[NH2+])N","InChI=1S/C8H11N3O/c1-12-7-4-2-6(3-5-7)11-8(9)10/h2-5H,1H3,(H4,9,10,11)/p+1","VGFALHATLLBXIT-UHFFFAOYSA-O"
3544002,"1-(2-Aminoethyl)-3-carbamoylpyridinium",166.097488,"C8H12N3O","c1cc(c[n+](c1)CCN)C(=O)N","InChI=1S/C8H11N3O/c9-3-5-11-4-1-2-7(6-11)8(10)12/h1-2,4,6H,3,5,9H2,(H-,10,12)/p+1","RAOPRHWSJWNCEQ-UHFFFAOYSA-O"
3627513,"5-(2-Cyclopentylidenehydrazino)-2H-tetrazole",166.096695,"C6H10N6","C1CCC(=NNc2n[nH]nn2)C1","InChI=1S/C6H10N6/c1-2-4-5(3-1)7-8-6-9-11-12-10-6/h1-4H2,(H2,8,9,10,11,12)","HBHWJAVFKBMFTO-UHFFFAOYSA-N"
4411424,"3a,4,8a,9-Tetrahydro-3H,8H-bis[1,2,3]triazolo[1,5-a:1',5'-d]pyrazine",166.096695,"C6H10N6","C1C2CN3C(CN=N3)CN2N=N1","InChI=1S/C6H10N6/c1-5-3-12-6(2-8-10-12)4-11(5)9-7-1/h5-6H,1-4H2","DYEYBZXRLVRUBV-UHFFFAOYSA-N"
4532969,"7-Hydrazino-5-methyl-1,7-dihydro[1,2,4]triazolo[1,5-a]pyrimidine",166.096695,"C6H10N6","CC1=CC(N2C(=N1)N=CN2)NN","InChI=1S/C6H10N6/c1-4-2-5(11-7)12-6(10-4)8-3-9-12/h2-3,5,11H,7H2,1H3,(H,8,9,10)","ADPQVYRAZIPOCT-UHFFFAOYSA-N"
4577773,"2-Octene, 1,1,2-trifluoro-",166.096939,"C8H13F3","CCCCC/C=C(/C(F)F)\F","InChI=1S/C8H13F3/c1-2-3-4-5-6-7(9)8(10)11/h6,8H,2-5H2,1H3/b7-6-","GEEONXFLRDFRQZ-SREVYHEPSA-N"
5378403,"2-[(3-Pyridinylcarbonyl)amino]ethanaminium",166.097488,"C8H12N3O","O=C(NCC[NH3+])c1cccnc1","InChI=1S/C8H11N3O/c9-3-5-11-8(12)7-2-1-4-10-6-7/h1-2,4,6H,3,5,9H2,(H,11,12)/p+1","RTIXFTKDETURTM-UHFFFAOYSA-O"
5381024,"Diamino-N-(3-methoxyphenyl)methaniminium",166.097488,"C8H12N3O","O(c1cccc(\[NH+]=C(/N)N)c1)C","InChI=1S/C8H11N3O/c1-12-7-4-2-3-6(5-7)11-8(9)10/h2-5H,1H3,(H4,9,10,11)/p+1","GHJPWSGXHWIAEQ-UHFFFAOYSA-O"
5615239,"2-[(2-Pyridinylcarbonyl)amino]ethanaminium",166.097488,"C8H12N3O","O=C(NCC[NH3+])c1ncccc1","InChI=1S/C8H11N3O/c9-4-6-11-8(12)7-3-1-2-5-10-7/h1-3,5H,4,6,9H2,(H,11,12)/p+1","MDEHSSNJTVYAFD-UHFFFAOYSA-O"
8279040,"Ethyl 4-methyl(2,6-~2~H_2_)benzoate",166.096283,"C10H10D2O2","O=C(OCC)c1c([2H])cc(cc1[2H])C","InChI=1S/C10H12O2/c1-3-12-10(11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3/i6D,7D","NWPWRAWAUYIELB-QFIQSOQBSA-N"
8279041,"4-Phenyl(4,4-~2~H_2_)butanoic acid",166.096283,"C10H10D2O2","[2H]C([2H])(c1ccccc1)CCC(=O)O","InChI=1S/C10H12O2/c11-10(12)8-4-7-9-5-2-1-3-6-9/h1-3,5-6H,4,7-8H2,(H,11,12)/i7D2","OBKXEAXTFZPCHS-RJSZUWSASA-N"
8283946,"(7R)-2,7-Dimethyl-5-oxo-5,6,7,8-tetrahydroimidazo[1,5-c]pyrimidin-2-ium",166.097488,"C8H12N3O","O=C2N[C@@H](Cc1c[n+](cn12)C)C","InChI=1S/C8H11N3O/c1-6-3-7-4-10(2)5-11(7)8(12)9-6/h4-6H,3H2,1-2H3/p+1/t6-/m1/s1","OWVAQYQYWYUQKD-ZCFIWIBFSA-O"
8686656,"Phenyl(~2~H_2_)methyl propionate",166.096283,"C10H10D2O2","[2H]C([2H])(OC(=O)CC)c1ccccc1","InChI=1S/C10H12O2/c1-2-10(11)12-8-9-6-4-3-5-7-9/h3-7H,2,8H2,1H3/i8D2","VHOMAPWVLKRQAZ-MGVXTIMCSA-N"
9183468,"8,8,8-Trifluoro-1-octene",166.096939,"C8H13F3","FC(F)(F)CCCCCC=C","InChI=1S/C8H13F3/c1-2-3-4-5-6-7-8(9,10)11/h2H,1,3-7H2","DHJCMDIDXIUWQC-UHFFFAOYSA-N"
9205349,"(1Z)-2-Hydroxy-4-(2-vinyl-1-aziridinyl)-1-butene-1-diazonium",166.097488,"C8H12N3O","N#[N+]/C=C(\O)CCN1C(\C=C)C1","InChI=1S/C8H11N3O/c1-2-7-6-11(7)4-3-8(12)5-10-9/h2,5,7H,1,3-4,6H2/p+1/b8-5-","CMZGFYUWDAFNLQ-YVMONPNESA-O"
9259387,"(1R,2R)-1,2-Diazidocyclohexane",166.096695,"C6H10N6","C1CCC(C(C1)N=[N+]=[N-])N=[N+]=[N-]","InChI=1S/C6H10N6/c7-11-9-5-3-1-2-4-6(5)10-12-8/h5-6H,1-4H2","VVOKGDAKFPYWTN-UHFFFAOYSA-N"
9507615,"Lithium 2-methyl-3,4-dihydro-1-naphthalenolate",166.097,"C11H11LiO","[Li+].[O-]C=2c1c(cccc1)CCC=2C","InChI=1S/C11H12O.Li/c1-8-6-7-9-4-2-3-5-10(9)11(8)12;/h2-5,12H,6-7H2,1H3;/q;+1/p-1","OPOVKVXOZKCJGN-UHFFFAOYSA-M"
9621388,"Lithium 4-(benzyloxy)-1-butyn-1-ide",166.097,"C11H11LiO","[Li+].[C-]#CCCOCc1ccccc1","InChI=1S/C11H11O.Li/c1-2-3-9-12-10-11-7-5-4-6-8-11;/h4-8H,3,9-10H2;/q-1;+1","UTQGQASVPFLPIC-UHFFFAOYSA-N"
9644103,"1-Allyl-2-hydroxy-1,4,5,6-tetrahydro-3-pyridinediazonium",166.097488,"C8H12N3O","N#[N+]/C1=C(\O)N(C\C=C)CCC1","InChI=1S/C8H11N3O/c1-2-5-11-6-3-4-7(10-9)8(11)12/h2H,1,3-6H2/p+1","NWSXOBPNOCAVPH-UHFFFAOYSA-O"
10277448,"4-Ethyl-1,1,1-trifluoro-3-hexene",166.096939,"C8H13F3","CCC(=CCC(F)(F)F)CC","InChI=1S/C8H13F3/c1-3-7(4-2)5-6-8(9,10)11/h5H,3-4,6H2,1-2H3","RRIGVUIVAVTIAW-UHFFFAOYSA-N"
10325500,"trans-1-Methyl-4-(trifluoromethyl)cyclohexane",166.096939,"C8H13F3","C[C@H]1CC[C@@H](CC1)C(F)(F)F","InChI=1S/C8H13F3/c1-6-2-4-7(5-3-6)8(9,10)11/h6-7H,2-5H2,1H3/t6-,7-","YZKFCSOACWTUBF-LJGSYFOKSA-N"
10329630,"(2E)-1,1,1-Trifluoro-2-octene",166.096939,"C8H13F3","CCCCC/C=C/C(F)(F)F","InChI=1S/C8H13F3/c1-2-3-4-5-6-7-8(9,10)11/h6-7H,2-5H2,1H3/b7-6+","WLPUOOBRPFNZGU-VOTSOKGWSA-N"
10555019,"1-[(2E)-2-(Hydroxyimino)ethyl]-2-(methylamino)pyridinium",166.097488,"C8H12N3O","CNc1cccc[n+]1C\C=N\O","InChI=1S/C8H11N3O/c1-9-8-4-2-3-6-11(8)7-5-10-12/h2-6,12H,7H2,1H3/p+1/b10-5+","VZVVCOLTHLIZRQ-BJMVGYQFSA-O"
10593687,"N~2~-Allyl-1,3,5-triazine-2,4,6-triamine",166.096695,"C6H10N6","Nc1nc(N)nc(NCC=C)n1","InChI=1S/C6H10N6/c1-2-3-9-6-11-4(7)10-5(8)12-6/h2H,1,3H2,(H5,7,8,9,10,11,12)","NXUJLMSOHYVBMB-UHFFFAOYSA-N"
14167282,"Sodium 2-methylheptanoate",166.09697,"C8H15NaO2","CCCCCC(C)C(=O)[O-].[Na+]","InChI=1S/C8H16O2.Na/c1-3-4-5-6-7(2)8(9)10;/h7H,3-6H2,1-2H3,(H,9,10);/q;+1/p-1","BNRLJJXPMKKGJR-UHFFFAOYSA-M"
14211510,"Sodium 6-methylheptanoate",166.09697,"C8H15NaO2","CC(C)CCCCC(=O)[O-].[Na+]","InChI=1S/C8H16O2.Na/c1-7(2)5-3-4-6-8(9)10;/h7H,3-6H2,1-2H3,(H,9,10);/q;+1/p-1","FUGVTYHNTOTQMG-UHFFFAOYSA-M"
21413968,"1,1-Diazidocyclohexane",166.096695,"C6H10N6","C1CCC(CC1)(N=[N+]=[N-])N=[N+]=[N-]","InChI=1S/C6H10N6/c7-11-9-6(10-12-8)4-2-1-3-5-6/h1-5H2","OFGGSBHRDVLPDE-UHFFFAOYSA-N"
21427564,"Sodium 2-ethylhexanoate",166.09697,"C8H15NaO2","CCCCC(CC)C(=O)[O-].[Na+]","InChI=1S/C8H16O2.Na/c1-3-5-6-7(4-2)8(9)10;/h7H,3-6H2,1-2H3,(H,9,10);/q;+1/p-1","VYPDUQYOLCLEGS-UHFFFAOYSA-M"
21489352,"1H-imidazol-2-amine",166.096695,"C6H10N6","c1cnc([nH]1)N.c1cnc([nH]1)N","InChI=1S/2C3H5N3/c2*4-3-5-1-2-6-3/h2*1-2H,(H3,4,5,6)","VLOKWHLBKCYQGA-UHFFFAOYSA-N"
23210302,"1,5,6,7-Tetrahydro-2,4-pteridinediamine",166.096695,"C6H10N6","C1CNc2c(c(nc(n2)N)N)N1","InChI=1S/C6H10N6/c7-4-3-5(10-2-1-9-3)12-6(8)11-4/h9H,1-2H2,(H5,7,8,10,11,12)","WUAKSYDPKFNCMY-UHFFFAOYSA-N"
