"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
4757,"Promazine",284.134705,"C17H20N2S","CN(C)CCCN1c2ccccc2Sc3c1cccc3","InChI=1S/C17H20N2S/c1-18(2)12-7-13-19-14-8-3-5-10-16(14)20-17-11-6-4-9-15(17)19/h3-6,8-11H,7,12-13H2,1-2H3","ZGUGWUXLJSTTMA-UHFFFAOYSA-N"
4758,"(±)-Promethazine",284.134705,"C17H20N2S","CC(CN1c2ccccc2Sc3c1cccc3)N(C)C","InChI=1S/C17H20N2S/c1-13(18(2)3)12-19-14-8-4-6-10-16(14)20-17-11-7-5-9-15(17)19/h4-11,13H,12H2,1-3H3","PWWVAXIEGOYWEE-UHFFFAOYSA-N"
19165,"1,3-Diethyl-1,3-diphenylthiourea",284.134705,"C17H20N2S","CCN(c1ccccc1)C(=S)N(CC)c2ccccc2","InChI=1S/C17H20N2S/c1-3-18(15-11-7-5-8-12-15)17(20)19(4-2)16-13-9-6-10-14-16/h5-14H,3-4H2,1-2H3","VPZPJKCEYBMGLL-UHFFFAOYSA-N"
64023,"1,3-Diphenyl-1-(trimethylsilyl)urea",284.134491,"C16H20N2OSi","C[Si](C)(C)N(c1ccccc1)C(=O)Nc2ccccc2","InChI=1S/C16H20N2OSi/c1-20(2,3)18(15-12-8-5-9-13-15)16(19)17-14-10-6-4-7-11-14/h4-13H,1-3H3,(H,17,19)","OUYBHCPCSNUQHE-UHFFFAOYSA-N"
64203,"di[4-(dimethylamino)phenyl]methanethione",284.134705,"C17H20N2S","CN(C)c1ccc(cc1)C(=S)c2ccc(cc2)N(C)C","InChI=1S/C17H20N2S/c1-18(2)15-9-5-13(6-10-15)17(20)14-7-11-16(12-8-14)19(3)4/h5-12H,1-4H3","KFUJUTFTRXYQMG-UHFFFAOYSA-N"
99332,"Isopromethazine",284.134705,"C17H20N2S","CC(CN(C)C)N1c2ccccc2Sc3c1cccc3","InChI=1S/C17H20N2S/c1-13(12-18(2)3)19-14-8-4-6-10-16(14)20-17-11-7-5-9-15(17)19/h4-11,13H,12H2,1-3H3","CGNHCKZJGQDWBG-UHFFFAOYSA-N"
104069,"Bis(3-amino-4,5-dimethylphenyl)methanethione",284.134705,"C17H20N2S","Cc1cc(cc(c1C)N)C(=S)c2cc(c(c(c2)N)C)C","InChI=1S/C17H20N2S/c1-9-5-13(7-15(18)11(9)3)17(20)14-6-10(2)12(4)16(19)8-14/h5-8H,18-19H2,1-4H3","LNURKHYFSDRSBI-UHFFFAOYSA-N"
188026,"N,N-Dimethyl-3-(4H-thieno[3,2-b][1]benzazepin-4-yl)-1-propanamine",284.134705,"C17H20N2S","CN(C)CCCN1c2ccccc2C=Cc3c1ccs3","InChI=1S/C17H20N2S/c1-18(2)11-5-12-19-15-7-4-3-6-14(15)8-9-17-16(19)10-13-20-17/h3-4,6-10,13H,5,11-12H2,1-2H3","JFAOODCMLJZILM-UHFFFAOYSA-N"
202423,"1-Phenyl-4-[(phenylsulfanyl)methyl]piperazine",284.134705,"C17H20N2S","c1ccc(cc1)N2CCN(CC2)CSc3ccccc3","InChI=1S/C17H20N2S/c1-3-7-16(8-4-1)19-13-11-18(12-14-19)15-20-17-9-5-2-6-10-17/h1-10H,11-15H2","SMDIBMDKOMPGKZ-UHFFFAOYSA-N"
249629,"Methyl N'-benzyl-N-(2,6-dimethylphenyl)carbamimidothioate",284.134705,"C17H20N2S","Cc1cccc(c1N/C(=N/Cc2ccccc2)/SC)C","InChI=1S/C17H20N2S/c1-13-8-7-9-14(2)16(13)19-17(20-3)18-12-15-10-5-4-6-11-15/h4-11H,12H2,1-3H3,(H,18,19)","HAMIJXACOZLYRO-UHFFFAOYSA-N"
335945,"Diethyl 2-cyclohexyl-1,1-difluoroethylphosphonate",284.135284,"C12H23F2O3P","CCOP(=O)(C(CC1CCCCC1)(F)F)OCC","InChI=1S/C12H23F2O3P/c1-3-16-18(15,17-4-2)12(13,14)10-11-8-6-5-7-9-11/h11H,3-10H2,1-2H3","NMDAZSHVIUFTIR-UHFFFAOYSA-N"
470284,"Ethyl 2-acetamido-3,3,3-trifluoro-N-isobutylalaninate",284.134766,"C11H19F3N2O3","CCOC(=O)C(C(F)(F)F)(NCC(C)C)NC(=O)C","InChI=1S/C11H19F3N2O3/c1-5-19-9(18)10(11(12,13)14,16-8(4)17)15-6-7(2)3/h7,15H,5-6H2,1-4H3,(H,16,17)","QNOXCRLBPBGXOD-UHFFFAOYSA-N"
471876,"Ethyl 2-acetamido-N-sec-butyl-3,3,3-trifluoroalaninate",284.134766,"C11H19F3N2O3","CCC(C)NC(C(=O)OCC)(C(F)(F)F)NC(=O)C","InChI=1S/C11H19F3N2O3/c1-5-7(3)15-10(11(12,13)14,16-8(4)17)9(18)19-6-2/h7,15H,5-6H2,1-4H3,(H,16,17)","CHNNIWAHOUNMQU-UHFFFAOYSA-N"
519777,"Ethyl 2-acetamido-N-butyl-3,3,3-trifluoroalaninate",284.134766,"C11H19F3N2O3","CCCCNC(C(=O)OCC)(C(F)(F)F)NC(=O)C","InChI=1S/C11H19F3N2O3/c1-4-6-7-15-10(11(12,13)14,16-8(3)17)9(18)19-5-2/h15H,4-7H2,1-3H3,(H,16,17)","HCDLCLHHKRKLKZ-UHFFFAOYSA-N"
519779,"Ethyl 2-acetamido-N,N-diethyl-3,3,3-trifluoroalaninate",284.134766,"C11H19F3N2O3","CCN(CC)C(C(=O)OCC)(C(F)(F)F)NC(=O)C","InChI=1S/C11H19F3N2O3/c1-5-16(6-2)10(11(12,13)14,15-8(4)17)9(18)19-7-3/h5-7H2,1-4H3,(H,15,17)","DCYKRGCNIRZRDE-UHFFFAOYSA-N"
581049,"(2S)-N,N-Dimethyl-1-(10H-phenothiazin-10-yl)-2-propanamine",284.134705,"C17H20N2S","C[C@@H](CN1c2ccccc2Sc3c1cccc3)N(C)C","InChI=1S/C17H20N2S/c1-13(18(2)3)12-19-14-8-4-6-10-16(14)20-17-11-7-5-9-15(17)19/h4-11,13H,12H2,1-3H3/t13-/m0/s1","PWWVAXIEGOYWEE-ZDUSSCGKSA-N"
599585,"(2R)-N,N-Dimethyl-1-(10H-phenothiazin-10-yl)-2-propanamine",284.134705,"C17H20N2S","C[C@H](CN1c2ccccc2Sc3c1cccc3)N(C)C","InChI=1S/C17H20N2S/c1-13(18(2)3)12-19-14-8-4-6-10-16(14)20-17-11-7-5-9-15(17)19/h4-11,13H,12H2,1-3H3/t13-/m1/s1","PWWVAXIEGOYWEE-CYBMUJFWSA-N"
605108,"1-Isopropyl-2-phenyl-5,6,7,8-tetrahydro-1H-quinazoline-4-thione",284.134705,"C17H20N2S","CC(C)n1c2c(c(=S)nc1c3ccccc3)CCCC2","InChI=1S/C17H20N2S/c1-12(2)19-15-11-7-6-10-14(15)17(20)18-16(19)13-8-4-3-5-9-13/h3-5,8-9,12H,6-7,10-11H2,1-2H3","DJPVGDDXCJKAOT-UHFFFAOYSA-N"
606741,"3-(4-Cyclohexylphenyl)-5,6-dihydroimidazo[2,1-b][1,3]thiazole",284.134705,"C17H20N2S","c1cc(ccc1C2CCCCC2)C3=CSC4=NCCN34","InChI=1S/C17H20N2S/c1-2-4-13(5-3-1)14-6-8-15(9-7-14)16-12-20-17-18-10-11-19(16)17/h6-9,12-13H,1-5,10-11H2","AZJDUTRPQOJXOY-UHFFFAOYSA-N"
644454,"1,3-Bis(3,4-dimethylphenyl)thiourea",284.134705,"C17H20N2S","Cc1ccc(cc1C)NC(=S)Nc2ccc(c(c2)C)C","InChI=1S/C17H20N2S/c1-11-5-7-15(9-13(11)3)18-17(20)19-16-8-6-12(2)14(4)10-16/h5-10H,1-4H3,(H2,18,19,20)","MUIABUGBWZVRME-UHFFFAOYSA-N"
649930,"Ethyl 4-(2,4-difluorobenzyl)-1-piperazinecarboxylate",284.133636,"C14H18F2N2O2","CCOC(=O)N1CCN(CC1)Cc2ccc(cc2F)F","InChI=1S/C14H18F2N2O2/c1-2-20-14(19)18-7-5-17(6-8-18)10-11-3-4-12(15)9-13(11)16/h3-4,9H,2,5-8,10H2,1H3","GHGSTUWROYJVTK-UHFFFAOYSA-N"
684186,"Ethyl 4-(3,4-difluorobenzyl)-1-piperazinecarboxylate",284.133636,"C14H18F2N2O2","CCOC(=O)N1CCN(CC1)Cc2ccc(c(c2)F)F","InChI=1S/C14H18F2N2O2/c1-2-20-14(19)18-7-5-17(6-8-18)10-11-3-4-12(15)13(16)9-11/h3-4,9H,2,5-8,10H2,1H3","GLDZSNPGZQRSMW-UHFFFAOYSA-N"
694314,"1,1-Dibenzyl-3-ethylthiourea",284.134705,"C17H20N2S","CCNC(=S)N(Cc1ccccc1)Cc2ccccc2","InChI=1S/C17H20N2S/c1-2-18-17(20)19(13-15-9-5-3-6-10-15)14-16-11-7-4-8-12-16/h3-12H,2,13-14H2,1H3,(H,18,20)","RQFQFIMWLWCECZ-UHFFFAOYSA-N"
699482,"1,3-Bis(2-phenylethyl)thiourea",284.134705,"C17H20N2S","c1ccc(cc1)CCNC(=S)NCCc2ccccc2","InChI=1S/C17H20N2S/c20-17(18-13-11-15-7-3-1-4-8-15)19-14-12-16-9-5-2-6-10-16/h1-10H,11-14H2,(H2,18,19,20)","HVCLISLMGLZZDM-UHFFFAOYSA-N"
699857,"1-(3,5-Dimethylphenyl)-3-(2-phenylethyl)thiourea",284.134705,"C17H20N2S","Cc1cc(cc(c1)NC(=S)NCCc2ccccc2)C","InChI=1S/C17H20N2S/c1-13-10-14(2)12-16(11-13)19-17(20)18-9-8-15-6-4-3-5-7-15/h3-7,10-12H,8-9H2,1-2H3,(H2,18,19,20)","JHAPRSJTGNACTN-UHFFFAOYSA-N"
700116,"1-(2,3-Dimethylphenyl)-3-(2-phenylethyl)thiourea",284.134705,"C17H20N2S","Cc1cccc(c1C)NC(=S)NCCc2ccccc2","InChI=1S/C17H20N2S/c1-13-7-6-10-16(14(13)2)19-17(20)18-12-11-15-8-4-3-5-9-15/h3-10H,11-12H2,1-2H3,(H2,18,19,20)","XLDQBYVUDRXPOO-UHFFFAOYSA-N"
700233,"1-(2,4-Dimethylphenyl)-3-(2-phenylethyl)thiourea",284.134705,"C17H20N2S","Cc1ccc(c(c1)C)NC(=S)NCCc2ccccc2","InChI=1S/C17H20N2S/c1-13-8-9-16(14(2)12-13)19-17(20)18-11-10-15-6-4-3-5-7-15/h3-9,12H,10-11H2,1-2H3,(H2,18,19,20)","CAMCCOHFUWSHGW-UHFFFAOYSA-N"
716567,"1-Benzyl-3-(2-ethyl-6-methylphenyl)thiourea",284.134705,"C17H20N2S","CCc1cccc(c1NC(=S)NCc2ccccc2)C","InChI=1S/C17H20N2S/c1-3-15-11-7-8-13(2)16(15)19-17(20)18-12-14-9-5-4-6-10-14/h4-11H,3,12H2,1-2H3,(H2,18,19,20)","AEUFQGFXEGFIHQ-UHFFFAOYSA-N"
782102,"1-(2,6-Diethylphenyl)-3-phenylthiourea",284.134705,"C17H20N2S","CCc1cccc(c1NC(=S)Nc2ccccc2)CC","InChI=1S/C17H20N2S/c1-3-13-9-8-10-14(4-2)16(13)19-17(20)18-15-11-6-5-7-12-15/h5-12H,3-4H2,1-2H3,(H2,18,19,20)","JJPFWXWDYUHKTD-UHFFFAOYSA-N"
813725,"4-Methyl-2-[(4-methylbenzyl)sulfanyl]-5,6,7,8-tetrahydroquinazoline",284.134705,"C17H20N2S","Cc1ccc(cc1)CSc2nc(c3c(n2)CCCC3)C","InChI=1S/C17H20N2S/c1-12-7-9-14(10-8-12)11-20-17-18-13(2)15-5-3-4-6-16(15)19-17/h7-10H,3-6,11H2,1-2H3","VHGBISWIHDVWDH-UHFFFAOYSA-N"
1110350,"1-(3,3-Diphenylpropyl)-3-methylthiourea",284.134705,"C17H20N2S","CNC(=S)NCCC(c1ccccc1)c2ccccc2","InChI=1S/C17H20N2S/c1-18-17(20)19-13-12-16(14-8-4-2-5-9-14)15-10-6-3-7-11-15/h2-11,16H,12-13H2,1H3,(H2,18,19,20)","CBKCHNQBRGLBHJ-UHFFFAOYSA-N"
1160528,"2-(4-Aminophenyl)-N-[(2R)-1-phenyl-2-propanyl]ethanethioamide",284.134705,"C17H20N2S","C[C@H](Cc1ccccc1)NC(=S)Cc2ccc(cc2)N","InChI=1S/C17H20N2S/c1-13(11-14-5-3-2-4-6-14)19-17(20)12-15-7-9-16(18)10-8-15/h2-10,13H,11-12,18H2,1H3,(H,19,20)/t13-/m1/s1","MONSVIBHSGHPKE-CYBMUJFWSA-N"
1249756,"N-Benzyl-4-(dimethylamino)-N-methylbenzenecarbothioamide",284.134705,"C17H20N2S","CN(C)c1ccc(cc1)C(=S)N(C)Cc2ccccc2","InChI=1S/C17H20N2S/c1-18(2)16-11-9-15(10-12-16)17(20)19(3)13-14-7-5-4-6-8-14/h4-12H,13H2,1-3H3","TUSARPNVQWICQY-UHFFFAOYSA-N"
1249789,"4-(Dimethylamino)-N-(2-phenylethyl)benzenecarbothioamide",284.134705,"C17H20N2S","CN(C)c1ccc(cc1)C(=S)NCCc2ccccc2","InChI=1S/C17H20N2S/c1-19(2)16-10-8-15(9-11-16)17(20)18-13-12-14-6-4-3-5-7-14/h3-11H,12-13H2,1-2H3,(H,18,20)","KSWNYFBWZPYSAD-UHFFFAOYSA-N"
1291771,"N-Allyl-4-(1-phenylcyclopentyl)-1,3-thiazol-2-amine",284.134705,"C17H20N2S","C=CCNc1nc(cs1)C2(CCCC2)c3ccccc3","InChI=1S/C17H20N2S/c1-2-12-18-16-19-15(13-20-16)17(10-6-7-11-17)14-8-4-3-5-9-14/h2-5,8-9,13H,1,6-7,10-12H2,(H,18,19)","POYLFPONMDNAIK-UHFFFAOYSA-N"
1298794,"N-Allyl-5-(1-phenylcyclopentyl)-1,3-thiazol-2-amine",284.134705,"C17H20N2S","C=CCNc1ncc(s1)C2(CCCC2)c3ccccc3","InChI=1S/C17H20N2S/c1-2-12-18-16-19-13-15(20-16)17(10-6-7-11-17)14-8-4-3-5-9-14/h2-5,8-9,13H,1,6-7,10-12H2,(H,18,19)","NJPDJLSOTSLRPD-UHFFFAOYSA-N"
1390749,"1-(4-Butylphenyl)-3-phenylthiourea",284.134705,"C17H20N2S","CCCCc1ccc(cc1)NC(=S)Nc2ccccc2","InChI=1S/C17H20N2S/c1-2-3-7-14-10-12-16(13-11-14)19-17(20)18-15-8-5-4-6-9-15/h4-6,8-13H,2-3,7H2,1H3,(H2,18,19,20)","DFSCUWNOECGJAN-UHFFFAOYSA-N"
1484334,"3-(3-Butyl-2-methyl-quinolin-4-ylsulfanyl)-propionitrile",284.134705,"C17H20N2S","CCCCc1c(nc2ccccc2c1SCCC#N)C","InChI=1S/C17H20N2S/c1-3-4-8-14-13(2)19-16-10-6-5-9-15(16)17(14)20-12-7-11-18/h5-6,9-10H,3-4,7-8,12H2,1-2H3","CBINABLKWMLDTQ-UHFFFAOYSA-N"
1544671,"2-(2,5-Dimethyl-1H-indol-3-yl)-N-(2-thienylmethyl)ethanamine",284.134705,"C17H20N2S","Cc1ccc2c(c1)c(c([nH]2)C)CCNCc3cccs3","InChI=1S/C17H20N2S/c1-12-5-6-17-16(10-12)15(13(2)19-17)7-8-18-11-14-4-3-9-20-14/h3-6,9-10,18-19H,7-8,11H2,1-2H3","PJFOVSTWJXTVEX-UHFFFAOYSA-N"
1549360,"Ethyl 4-(2,6-difluorobenzyl)-1-piperazinecarboxylate",284.133636,"C14H18F2N2O2","CCOC(=O)N1CCN(CC1)Cc2c(cccc2F)F","InChI=1S/C14H18F2N2O2/c1-2-20-14(19)18-8-6-17(7-9-18)10-11-12(15)4-3-5-13(11)16/h3-5H,2,6-10H2,1H3","IFQMQWIFUZQEBS-UHFFFAOYSA-N"
1663966,"2,6-Difluoro-N-[3-(4-morpholinyl)propyl]benzamide",284.133636,"C14H18F2N2O2","c1cc(c(c(c1)F)C(=O)NCCCN2CCOCC2)F","InChI=1S/C14H18F2N2O2/c15-11-3-1-4-12(16)13(11)14(19)17-5-2-6-18-7-9-20-10-8-18/h1,3-4H,2,5-10H2,(H,17,19)","BPENAVNDCDLNGR-UHFFFAOYSA-N"
1689153,"5-Phenyl-3H-spiro[1,3,4-thiadiazole-2,2'-tricyclo[3.3.1.1~3,7~]decane]",284.134705,"C17H20N2S","c1ccc(cc1)C2=NNC3(S2)C4CC5CC(C4)CC3C5","InChI=1S/C17H20N2S/c1-2-4-13(5-3-1)16-18-19-17(20-16)14-7-11-6-12(9-14)10-15(17)8-11/h1-5,11-12,14-15,19H,6-10H2","SUBSLBGGPRTQTR-UHFFFAOYSA-N"
1728377,"[3-(Difluoromethoxy)phenyl](4-ethyl-1-piperazinyl)methanone",284.133636,"C14H18F2N2O2","CCN1CCN(CC1)C(=O)c2cccc(c2)OC(F)F","InChI=1S/C14H18F2N2O2/c1-2-17-6-8-18(9-7-17)13(19)11-4-3-5-12(10-11)20-14(15)16/h3-5,10,14H,2,6-9H2,1H3","BVWCPHUCFIJZNK-UHFFFAOYSA-N"
1738310,"1-Cyclohexyl-3-(1-naphthyl)thiourea",284.134705,"C17H20N2S","c1ccc2c(c1)cccc2NC(=S)NC3CCCCC3","InChI=1S/C17H20N2S/c20-17(18-14-9-2-1-3-10-14)19-16-12-6-8-13-7-4-5-11-15(13)16/h4-8,11-12,14H,1-3,9-10H2,(H2,18,19,20)","YQNAYSUOOGCTIN-UHFFFAOYSA-N"
1760125,"(E)-1-(3-Methyl-2-thienyl)-N-[2-(1-piperidinyl)phenyl]methanimine",284.134705,"C17H20N2S","Cc1ccsc1/C=N/c2ccccc2N3CCCCC3","InChI=1S/C17H20N2S/c1-14-9-12-20-17(14)13-18-15-7-3-4-8-16(15)19-10-5-2-6-11-19/h3-4,7-9,12-13H,2,5-6,10-11H2,1H3/b18-13+","AETRCLANVOSPSN-QGOAFFKASA-N"
1764179,"1-[2-(2-Methyl-2-propanyl)phenyl]-3-phenylthiourea",284.134705,"C17H20N2S","CC(C)(C)c1ccccc1NC(=S)Nc2ccccc2","InChI=1S/C17H20N2S/c1-17(2,3)14-11-7-8-12-15(14)19-16(20)18-13-9-5-4-6-10-13/h4-12H,1-3H3,(H2,18,19,20)","PXUVFIRISQMRSG-UHFFFAOYSA-N"
1808497,"1-(2,5-Dimethylphenyl)-3-(2-phenylethyl)thiourea",284.134705,"C17H20N2S","Cc1ccc(c(c1)NC(=S)NCCc2ccccc2)C","InChI=1S/C17H20N2S/c1-13-8-9-14(2)16(12-13)19-17(20)18-11-10-15-6-4-3-5-7-15/h3-9,12H,10-11H2,1-2H3,(H2,18,19,20)","KREURGFETMIXEB-UHFFFAOYSA-N"
1822558,"1-(2,6-Dimethylphenyl)-3-(4-ethylphenyl)thiourea",284.134705,"C17H20N2S","CCc1ccc(cc1)NC(=S)Nc2c(cccc2C)C","InChI=1S/C17H20N2S/c1-4-14-8-10-15(11-9-14)18-17(20)19-16-12(2)6-5-7-13(16)3/h5-11H,4H2,1-3H3,(H2,18,19,20)","CRNBKEQSGKHHIZ-UHFFFAOYSA-N"
1829984,"3-Benzyl-1-isopropyl-1-phenylthiourea",284.134705,"C17H20N2S","CC(C)N(c1ccccc1)C(=S)NCc2ccccc2","InChI=1S/C17H20N2S/c1-14(2)19(16-11-7-4-8-12-16)17(20)18-13-15-9-5-3-6-10-15/h3-12,14H,13H2,1-2H3,(H,18,20)","OLSXMGRYDOUQJU-UHFFFAOYSA-N"
1836899,"N-Ethyl-3,5-difluoro-N-[2-(isopropylamino)-2-oxoethyl]benzamide",284.133636,"C14H18F2N2O2","CCN(CC(=O)NC(C)C)C(=O)c1cc(cc(c1)F)F","InChI=1S/C14H18F2N2O2/c1-4-18(8-13(19)17-9(2)3)14(20)10-5-11(15)7-12(16)6-10/h5-7,9H,4,8H2,1-3H3,(H,17,19)","CRJFNRVCVXZIGX-UHFFFAOYSA-N"
2012881,"1,3-Bis(2,4-dimethylphenyl)thiourea",284.134705,"C17H20N2S","Cc1ccc(c(c1)C)NC(=S)Nc2ccc(cc2C)C","InChI=1S/C17H20N2S/c1-11-5-7-15(13(3)9-11)18-17(20)19-16-8-6-12(2)10-14(16)4/h5-10H,1-4H3,(H2,18,19,20)","FIJGOSFWZDCALN-UHFFFAOYSA-N"
2013293,"1-(2,5-Dimethylphenyl)-3-(2,6-dimethylphenyl)thiourea",284.134705,"C17H20N2S","Cc1ccc(c(c1)NC(=S)Nc2c(cccc2C)C)C","InChI=1S/C17H20N2S/c1-11-8-9-12(2)15(10-11)18-17(20)19-16-13(3)6-5-7-14(16)4/h5-10H,1-4H3,(H2,18,19,20)","ITIROEBUQUCNFY-UHFFFAOYSA-N"
2013337,"3-(1,2-Diphenylethyl)-1,1-dimethylthiourea",284.134705,"C17H20N2S","CN(C)C(=S)NC(Cc1ccccc1)c2ccccc2","InChI=1S/C17H20N2S/c1-19(2)17(20)18-16(15-11-7-4-8-12-15)13-14-9-5-3-6-10-14/h3-12,16H,13H2,1-2H3,(H,18,20)","ABBBFNFHYDMGID-UHFFFAOYSA-N"
2028916,"3-(2,6-Dimethylphenyl)-1-ethyl-1-phenylthiourea",284.134705,"C17H20N2S","CCN(c1ccccc1)C(=S)Nc2c(cccc2C)C","InChI=1S/C17H20N2S/c1-4-19(15-11-6-5-7-12-15)17(20)18-16-13(2)9-8-10-14(16)3/h5-12H,4H2,1-3H3,(H,18,20)","VGJVLXHTLDONLD-UHFFFAOYSA-N"
2096988,"1-(3,5-Dimethylphenyl)-3-(4-ethylphenyl)thiourea",284.134705,"C17H20N2S","CCc1ccc(cc1)NC(=S)Nc2cc(cc(c2)C)C","InChI=1S/C17H20N2S/c1-4-14-5-7-15(8-6-14)18-17(20)19-16-10-12(2)9-13(3)11-16/h5-11H,4H2,1-3H3,(H2,18,19,20)","YHNZRUXIFXGMRJ-UHFFFAOYSA-N"
2096991,"1,3-Bis(3,5-dimethylphenyl)thiourea",284.134705,"C17H20N2S","Cc1cc(cc(c1)NC(=S)Nc2cc(cc(c2)C)C)C","InChI=1S/C17H20N2S/c1-11-5-12(2)8-15(7-11)18-17(20)19-16-9-13(3)6-14(4)10-16/h5-10H,1-4H3,(H2,18,19,20)","BVRKKCXFTRHBLP-UHFFFAOYSA-N"
2102047,"N'-(2,4-difluorobenzoyl)-N,N-diisopropylurea",284.133636,"C14H18F2N2O2","CC(C)N(C(C)C)C(=O)NC(=O)c1ccc(cc1F)F","InChI=1S/C14H18F2N2O2/c1-8(2)18(9(3)4)14(20)17-13(19)11-6-5-10(15)7-12(11)16/h5-9H,1-4H3,(H,17,19,20)","OKMNBDUKKHJURV-UHFFFAOYSA-N"
2103147,"1-Methyl-3-phenyl-1-(1-phenylpropyl)thiourea",284.134705,"C17H20N2S","CCC(c1ccccc1)N(C)C(=S)Nc2ccccc2","InChI=1S/C17H20N2S/c1-3-16(14-10-6-4-7-11-14)19(2)17(20)18-15-12-8-5-9-13-15/h4-13,16H,3H2,1-2H3,(H,18,20)","CHYCFVYAJDHIBP-UHFFFAOYSA-N"
2121820,"Ethyl 4-(2,5-difluorobenzyl)-1-piperazinecarboxylate",284.133636,"C14H18F2N2O2","CCOC(=O)N1CCN(CC1)Cc2cc(ccc2F)F","InChI=1S/C14H18F2N2O2/c1-2-20-14(19)18-7-5-17(6-8-18)10-11-9-12(15)3-4-13(11)16/h3-4,9H,2,5-8,10H2,1H3","OAHWRRYUPMJUML-UHFFFAOYSA-N"
2272262,"1,3-Bis(1-phenylethyl)thiourea",284.134705,"C17H20N2S","CC(c1ccccc1)NC(=S)NC(C)c2ccccc2","InChI=1S/C17H20N2S/c1-13(15-9-5-3-6-10-15)18-17(20)19-14(2)16-11-7-4-8-12-16/h3-14H,1-2H3,(H2,18,19,20)","OCIUEYSMBBAERM-UHFFFAOYSA-N"
2298925,"1,3-Bis(2-ethylphenyl)thiourea",284.134705,"C17H20N2S","CCc1ccccc1NC(=S)Nc2ccccc2CC","InChI=1S/C17H20N2S/c1-3-13-9-5-7-11-15(13)18-17(20)19-16-12-8-6-10-14(16)4-2/h5-12H,3-4H2,1-2H3,(H2,18,19,20)","WYMLGVPROUZGCI-UHFFFAOYSA-N"
