"Identifier","CompoundName","MonoisotopicMass","MolecularFormula","SMILES","InChI","InChIKey"
662,"3-(3,4-Dioxo-1,5-cyclohexadien-1-yl)alanine",195.053162,"C9H9NO4","C1=CC(=O)C(=O)C=C1CC(C(=O)O)N","InChI=1S/C9H9NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6H,3,10H2,(H,13,14)","AHMIDUVKSGCHAU-UHFFFAOYSA-N"
4934,"4-[Amino(carboxy)methyl]benzoic acid",195.053162,"C9H9NO4","c1cc(ccc1C(C(=O)O)N)C(=O)O","InChI=1S/C9H9NO4/c10-7(9(13)14)5-1-3-6(4-2-5)8(11)12/h1-4,7H,10H2,(H,11,12)(H,13,14)","VTMJKPGFERYGJF-UHFFFAOYSA-N"
7177,"Ethyl 4-nitrobenzoate",195.053162,"C9H9NO4","CCOC(=O)c1ccc(cc1)[N+](=O)[O-]","InChI=1S/C9H9NO4/c1-2-14-9(11)7-3-5-8(6-4-7)10(12)13/h3-6H,2H2,1H3","PHWSCBWNPZDYRI-UHFFFAOYSA-N"
8132,"1,3-Benzodioxol-5-yl methylcarbamate",195.053162,"C9H9NO4","CNC(=O)Oc1ccc2c(c1)OCO2","InChI=1S/C9H9NO4/c1-10-9(11)14-6-2-3-7-8(4-6)13-5-12-7/h2-4H,5H2,1H3,(H,10,11)","GLYGYVWDYBENHG-UHFFFAOYSA-N"
9835,"Salicyluric acid",195.053162,"C9H9NO4","c1ccc(c(c1)/C(=N/CC(=O)O)/O)O","InChI=1S/C9H9NO4/c11-7-4-2-1-3-6(7)9(14)10-5-8(12)13/h1-4,11H,5H2,(H,10,14)(H,12,13)","ONJSZLXSECQROL-UHFFFAOYSA-N"
11597,"4-Nitrobenzylacetat",195.053162,"C9H9NO4","CC(=O)OCc1ccc(cc1)[N+](=O)[O-]","InChI=1S/C9H9NO4/c1-7(11)14-6-8-2-4-9(5-3-8)10(12)13/h2-5H,6H2,1H3","QNXQLPUEZYZYFC-UHFFFAOYSA-N"
20040,"BENZADOX",195.053162,"C9H9NO4","c1ccc(cc1)C(=O)NOCC(=O)O","InChI=1S/C9H9NO4/c11-8(12)6-14-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)","WDRGQGLIUAMOOC-UHFFFAOYSA-N"
20045,"2-((4-Nitrophenoxy)methyl)oxirane",195.053162,"C9H9NO4","c1cc(ccc1[N+](=O)[O-])OCC2CO2","InChI=1S/C9H9NO4/c11-10(12)7-1-3-8(4-2-7)13-5-9-6-14-9/h1-4,9H,5-6H2","FPIGOBKNDYAZTP-UHFFFAOYSA-N"
38813,"Amino(4-formyl-3-hydroxyphenyl)acetic acid",195.053162,"C9H9NO4","c1cc(c(cc1C(C(=O)O)N)O)C=O","InChI=1S/C9H9NO4/c10-8(9(13)14)5-1-2-6(4-11)7(12)3-5/h1-4,8,12H,10H2,(H,13,14)","MWSKDGPKFCWPOF-UHFFFAOYSA-N"
39263,"6-Methyl-7-nitro-2,3-dihydro-1,4-benzodioxine",195.053162,"C9H9NO4","Cc1cc2c(cc1[N+](=O)[O-])OCCO2","InChI=1S/C9H9NO4/c1-6-4-8-9(14-3-2-13-8)5-7(6)10(11)12/h4-5H,2-3H2,1H3","IOIVECGQHFGMMC-UHFFFAOYSA-N"
46161,"4-Hydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one",195.053162,"C9H9NO4","COc1ccc2c(c1)OCC(=O)N2O","InChI=1S/C9H9NO4/c1-13-6-2-3-7-8(4-6)14-5-9(11)10(7)12/h2-4,12H,5H2,1H3","AFMLVQPDSTZQOF-UHFFFAOYSA-N"
46162,"4-Hydroxy-6-methoxy-4H-benzo[1,4]oxazin-3-one",195.053162,"C9H9NO4","COc1ccc2c(c1)N(C(=O)CO2)O","InChI=1S/C9H9NO4/c1-13-6-2-3-8-7(4-6)10(12)9(11)5-14-8/h2-4,12H,5H2,1H3","CBWDZYHWPNHURY-UHFFFAOYSA-N"
58955,"4-Acetamidosalicylic Acid",195.053162,"C9H9NO4","CC(=O)Nc1ccc(c(c1)O)C(=O)O","InChI=1S/C9H9NO4/c1-5(11)10-6-2-3-7(9(13)14)8(12)4-6/h2-4,12H,1H3,(H,10,11)(H,13,14)","YBTVSGCNBZPRBD-UHFFFAOYSA-N"
58958,"5-Acetamido-2-hydroxybenzoic acid",195.053162,"C9H9NO4","CC(=O)Nc1ccc(c(c1)C(=O)O)O","InChI=1S/C9H9NO4/c1-5(11)10-6-2-3-8(12)7(4-6)9(13)14/h2-4,12H,1H3,(H,10,11)(H,13,14)","GEFDRROBUCULOD-UHFFFAOYSA-N"
62279,"Dimethyl quinolinate",195.053162,"C9H9NO4","COC(=O)c1cccnc1C(=O)OC","InChI=1S/C9H9NO4/c1-13-8(11)6-4-3-5-10-7(6)9(12)14-2/h3-5H,1-2H3","YLGIBCYHQZTFQL-UHFFFAOYSA-N"
62340,"Ethyl 2-nitrobenzoate",195.053162,"C9H9NO4","CCOC(=O)c1ccccc1[N+](=O)[O-]","InChI=1S/C9H9NO4/c1-2-14-9(11)7-5-3-4-6-8(7)10(12)13/h3-6H,2H2,1H3","CPNMAYYYYSWTIV-UHFFFAOYSA-N"
62376,"2-[(Carboxymethyl)amino]benzoic acid",195.053162,"C9H9NO4","c1ccc(c(c1)C(=O)O)NCC(=O)O","InChI=1S/C9H9NO4/c11-8(12)5-10-7-4-2-1-3-6(7)9(13)14/h1-4,10H,5H2,(H,11,12)(H,13,14)","PJUXPMVQAZLJEX-UHFFFAOYSA-N"
67348,"4-Nitrophenyl propionate",195.053162,"C9H9NO4","CCC(=O)Oc1ccc(cc1)[N+](=O)[O-]","InChI=1S/C9H9NO4/c1-2-9(11)14-8-5-3-7(4-6-8)10(12)13/h3-6H,2H2,1H3","DCQWRDUXRZSWHI-UHFFFAOYSA-N"
67385,"3-(2-Nitrophenyl)propanoic acid",195.053162,"C9H9NO4","c1ccc(c(c1)CCC(=O)O)[N+](=O)[O-]","InChI=1S/C9H9NO4/c11-9(12)6-5-7-3-1-2-4-8(7)10(13)14/h1-4H,5-6H2,(H,11,12)","OARKUZWAGHQLSL-UHFFFAOYSA-N"
70709,"Dimethyl 3,5-Pyridinedicarboxylate",195.053162,"C9H9NO4","COC(=O)c1cc(cnc1)C(=O)OC","InChI=1S/C9H9NO4/c1-13-8(11)6-3-7(5-10-4-6)9(12)14-2/h3-5H,1-2H3","HDTNLHHNQYBOHJ-UHFFFAOYSA-N"
71564,"1-(2-Nitrophenoxy)acetone",195.053162,"C9H9NO4","CC(=O)COc1ccccc1[N+](=O)[O-]","InChI=1S/C9H9NO4/c1-7(11)6-14-9-5-3-2-4-8(9)10(12)13/h2-5H,6H2,1H3","PYVMIAYOZLGBQM-UHFFFAOYSA-N"
71857,"Dimethylpyridin-2,6-dicarboxylat",195.053162,"C9H9NO4","COC(=O)c1cccc(n1)C(=O)OC","InChI=1S/C9H9NO4/c1-13-8(11)6-4-3-5-7(10-6)9(12)14-2/h3-5H,1-2H3","SNQQJEJPJMXYTR-UHFFFAOYSA-N"
71928,"methyl3-methyl-2-nitrobenzoate",195.053162,"C9H9NO4","Cc1cccc(c1[N+](=O)[O-])C(=O)OC","InChI=1S/C9H9NO4/c1-6-4-3-5-7(9(11)14-2)8(6)10(12)13/h3-5H,1-2H3","NJHDBIXFFZVJGZ-UHFFFAOYSA-N"
72679,"4-Acetyl-2-nitroanisole",195.053162,"C9H9NO4","CC(=O)c1ccc(c(c1)[N+](=O)[O-])OC","InChI=1S/C9H9NO4/c1-6(11)7-3-4-9(14-2)8(5-7)10(12)13/h3-5H,1-2H3","VXLKYQQBEPCMJE-UHFFFAOYSA-N"
73829,"methyl 3-nitro-4-methylbenzoate",195.053162,"C9H9NO4","Cc1ccc(cc1[N+](=O)[O-])C(=O)OC","InChI=1S/C9H9NO4/c1-6-3-4-7(9(11)14-2)5-8(6)10(12)13/h3-5H,1-2H3","YFPBHPCMYFCRKS-UHFFFAOYSA-N"
77134,"3-(4-Nitrophenyl)propanoic acid",195.053162,"C9H9NO4","c1cc(ccc1CCC(=O)O)[N+](=O)[O-]","InChI=1S/C9H9NO4/c11-9(12)6-3-7-1-4-8(5-2-7)10(13)14/h1-2,4-5H,3,6H2,(H,11,12)","VZOPVJNBOQOLPN-UHFFFAOYSA-N"
80535,"2-(4-Nitrophenyl)propanoic acid",195.053162,"C9H9NO4","CC(c1ccc(cc1)[N+](=O)[O-])C(=O)O","InChI=1S/C9H9NO4/c1-6(9(11)12)7-2-4-8(5-3-7)10(13)14/h2-6H,1H3,(H,11,12)","RBSRRICSXWXMRC-UHFFFAOYSA-N"
84035,"(2-Carbamoylphenoxy)acetic acid",195.053162,"C9H9NO4","c1ccc(c(c1)C(=O)N)OCC(=O)O","InChI=1S/C9H9NO4/c10-9(13)6-3-1-2-4-7(6)14-5-8(11)12/h1-4H,5H2,(H2,10,13)(H,11,12)","RLISWLLILOTWGG-UHFFFAOYSA-N"
101798,"5-Ethyl-2,3-pyridinedicarboxylic acid",195.053162,"C9H9NO4","CCc1cc(c(nc1)C(=O)O)C(=O)O","InChI=1S/C9H9NO4/c1-2-5-3-6(8(11)12)7(9(13)14)10-4-5/h3-4H,2H2,1H3,(H,11,12)(H,13,14)","MTAVBTGOXNGCJR-UHFFFAOYSA-N"
116422,"2-Nitrobenzyl acetate",195.053162,"C9H9NO4","CC(=O)OCc1ccccc1[N+](=O)[O-]","InChI=1S/C9H9NO4/c1-7(11)14-6-8-4-2-3-5-9(8)10(12)13/h2-5H,6H2,1H3","CTKPHIBQMJQHOG-UHFFFAOYSA-N"
116542,"2-Acetamido-3-hydroxybenzoic acid",195.053162,"C9H9NO4","CC(=O)Nc1c(cccc1O)C(=O)O","InChI=1S/C9H9NO4/c1-5(11)10-8-6(9(13)14)3-2-4-7(8)12/h2-4,12H,1H3,(H,10,11)(H,13,14)","HKAWFFIGVUOBQV-UHFFFAOYSA-N"
129661,"2-Acetoxy-4-aminobenzoic acid",195.053162,"C9H9NO4","CC(=O)Oc1cc(ccc1C(=O)O)N","InChI=1S/C9H9NO4/c1-5(11)14-8-4-6(10)2-3-7(8)9(12)13/h2-4H,10H2,1H3,(H,12,13)","OGBZOXBEULJKHF-UHFFFAOYSA-N"
130361,"(2R)-2-[(4-Nitrophenoxy)methyl]oxirane",195.053162,"C9H9NO4","c1cc(ccc1[N+](=O)[O-])OC[C@H]2CO2","InChI=1S/C9H9NO4/c11-10(12)7-1-3-8(4-2-7)13-5-9-6-14-9/h1-4,9H,5-6H2/t9-/m0/s1","FPIGOBKNDYAZTP-VIFPVBQESA-N"
130362,"(2S)-2-[(4-Nitrophenoxy)methyl]oxirane",195.053162,"C9H9NO4","c1cc(ccc1[N+](=O)[O-])OC[C@@H]2CO2","InChI=1S/C9H9NO4/c11-10(12)7-1-3-8(4-2-7)13-5-9-6-14-9/h1-4,9H,5-6H2/t9-/m1/s1","FPIGOBKNDYAZTP-SECBINFHSA-N"
